Provider Number;Hospital Name;Address 1;Address 2;Address 3;City;State;ZIP Code;County Name;Phone Number;Hospital Type;Hospital Ownership;Emergency Services;Location
010001;SOUTHEAST ALABAMA MEDICAL CENTER;1108 ROSS CLARK CIRCLE;;;DOTHAN;AL;36301;HOUSTON;3347938701;Acute Care Hospitals;Government - Hospital District or Authority;true;"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.215378796000437, -85.36146587999968)"
010005;MARSHALL MEDICAL CENTER SOUTH;2505 U S HIGHWAY 431 NORTH;;;BOAZ;AL;35957;MARSHALL;2565938310;Acute Care Hospitals;Government - Hospital District or Authority;true;"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
(34.221335602000465, -86.15937513199964)"
010006;ELIZA COFFEE MEMORIAL HOSPITAL;205 MARENGO STREET;;;FLORENCE;AL;35631;LAUDERDALE;2567688400;Acute Care Hospitals;Government - Hospital District or Authority;true;"205 MARENGO STREET
FLORENCE, AL 35631
(34.795039407000445, -87.68507476899964)"
010007;MIZELL MEMORIAL HOSPITAL;702 N MAIN ST;;;OPP;AL;36467;COVINGTON;3344933541;Acute Care Hospitals;Voluntary non-profit - Private;true;"702 N MAIN ST
OPP, AL 36467
(31.29216049200045, -86.25543111799965)"
010008;CRENSHAW COMMUNITY HOSPITAL;101 HOSPITAL CIRCLE;;;LUVERNE;AL;36049;CRENSHAW;3343353374;Acute Care Hospitals;Proprietary;false;"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.69311576600046, -86.26549482999968)"
010011;ST VINCENT'S EAST;50 MEDICAL PARK EAST DRIVE;;;BIRMINGHAM;AL;35235;JEFFERSON;2058383122;Acute Care Hospitals;Voluntary non-profit - Private;true;"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.595250320000446, -86.66529104399967)"
010012;DEKALB REGIONAL MEDICAL CENTER;200 MED CENTER DRIVE;;;FORT PAYNE;AL;35968;DE KALB;2568453150;Acute Care Hospitals;Proprietary;true;"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.440607007000494, -85.75726760699968)"
010016;SHELBY BAPTIST MEDICAL CENTER;1000 FIRST STREET NORTH;;;ALABASTER;AL;35007;SHELBY;2056208100;Acute Care Hospitals;Voluntary non-profit - Church;true;"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.25442996200047, -86.81407943599964)"
010018;CALLAHAN EYE HOSPITAL;1720 UNIVERSITY BLVD;;;BIRMINGHAM;AL;35233;JEFFERSON;2053258100;Acute Care Hospitals;Voluntary non-profit - Private;true;"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.50315069400045, -86.80233083599967)"
010019;HELEN KELLER MEMORIAL HOSPITAL;1300 SOUTH MONTGOMERY AVENUE;;;SHEFFIELD;AL;35660;COLBERT;2563864556;Acute Care Hospitals;Government - Hospital District or Authority;true;"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.74643473700047, -87.69893501699966)"
010021;DALE MEDICAL CENTER;126 HOSPITAL AVE;;;OZARK;AL;36360;DALE;3347742601;Acute Care Hospitals;Government - Hospital District or Authority;true;"126 HOSPITAL AVE
OZARK, AL 36360
(31.45135060700045, -85.63091020199965)"
